,BTG2,CSF3R,CSN3,CXCR1,CXCR2,EGR1,FFAR2,FOXF1,FPR1,FPR2,GLE1,IL1B,IL1R2,IL5RA,KLF6,MXD1,NAMPT,NR4A2,NR4A3,PDK4,PER3,PRDM1,RAB8B,RGS2,S100A12,S100A8
0,5.385066396,2.072460492,1.649771602,2.25949412,2.482113162,5.004415764,1.587415719,2.621495061,2.842224496,1.804351287,2.876606414,2.484368,2.101039449,1.766789336,4.138686144,3.339295416,2.866321394,1.75993738,1.893170957,4.541402181,2.648371654,2.813278875,5.241229801,5.05827326,4.416746092,4.430413011
0,5.199763514,2.119747511,1.615948846,2.21099917,2.479152805,5.352316165,1.622154581,3.17697434,2.618463862,1.700235647,2.942913576,1.827977201,1.232071566,1.787546505,3.853545318,3.403005273,3.241650742,4.162174642,2.598878858,4.942485466,3.958773048,2.465587285,5.160836946,5.44737103,2.423695338,2.74312139
0,4.641327846,2.483165897,1.857615216,2.220124608,2.429395997,3.694447594,1.781821059,2.658985436,2.739384037,2.030501718,2.943992553,1.84723959,1.047383274,1.935788206,3.669371786,3.137254308,2.758427436,1.286097746,1.592461502,4.832684942,3.169813263,2.758380642,5.474294867,5.28221124,3.509719181,4.222980258
0,5.440960514,2.344045686,1.79667032,2.5835853,2.64991614,5.663623884,1.415335895,3.308908012,2.985971186,1.660414684,2.925815236,2.430655092,1.462603667,1.858518402,3.541635138,3.385170882,3.01296839,2.739703652,2.247505146,4.896981522,4.052922793,3.091730294,5.324697002,5.149129474,3.417386324,3.883775484
0,5.198259391,2.341367088,1.88087275,2.342606269,2.527693323,5.410146182,1.692459872,2.857322947,2.8724326,1.915640964,2.897017997,2.314411749,1.830878263,1.910529154,4.190128469,3.429113012,4.184895097,3.804498023,3.38758807,5.043431462,4.27768954,3.010347077,5.349949113,5.968648795,2.604170376,2.451769855
0,4.549319782,2.220173521,1.989003988,2.206179303,2.997288783,3.761383585,1.707318365,2.666039978,3.084749221,1.943305227,3.193278387,1.940152149,1.894824395,1.899893216,3.315290454,3.241123838,3.103227845,1.312536473,1.661015736,4.77936356,4.349701643,2.662330069,5.361056849,4.748381281,3.206163281,4.201134879
0,5.139323566,2.43352813,1.603068894,2.189429263,4.063702324,5.265905459,1.348684197,2.92205083,2.991327752,1.813916485,2.912111002,2.551006023,1.332248994,1.907406092,3.709813733,3.425670973,4.000743567,4.08263128,2.398562115,4.716689755,3.849158156,2.180049915,5.598993237,6.061666414,2.968564206,5.112675341
0,5.295828118,2.567407349,1.659547771,2.39003689,2.656287329,5.011853791,1.798947365,2.564943124,3.16029246,1.971895069,3.070386018,2.362375964,1.568597227,1.844477345,3.843040774,3.525137403,2.656737809,3.248146642,1.519690046,4.486870683,3.524885852,2.681479528,5.147281256,5.553480672,3.386177223,4.47725163
0,5.337208949,2.3661311,1.271896664,2.153023995,2.796721226,4.708253526,1.733431111,3.382975125,3.176207174,1.66587524,2.843864678,2.494604217,1.092186128,1.70617476,4.085937448,3.477929319,2.791235076,2.222735024,1.369983682,4.9313326,3.67779778,3.25262005,4.913672439,4.809299145,2.948436895,4.227285434
0,5.02801507,2.398828081,2.106661067,2.431260896,3.072921962,3.917472784,1.787105598,2.414884438,3.330199572,1.918855853,3.066581965,1.869969855,1.839324843,1.940625055,3.921415701,3.568822807,2.531516828,1.162843976,1.772004194,4.510633914,3.407823127,2.548699196,4.272324018,5.715193668,5.788284459,5.149198932
0,5.933879372,2.341367088,1.823610206,2.423638573,3.025432906,6.130674481,1.69638948,2.244659535,2.952798304,1.971992996,3.098612838,2.192096806,1.744866191,1.865300059,4.238810576,3.391545084,3.109080129,3.416342565,1.920652271,4.893193659,3.251286386,2.67719805,5.02962286,5.467416929,4.322766524,4.246529843
0,5.140280981,2.64252385,1.851282266,2.283628636,2.923374588,4.627795747,1.638241049,2.223818713,3.029860144,2.056420872,3.025339733,2.068369249,1.803512352,1.879526608,3.310306683,3.603432027,3.043015913,1.431323485,1.49075737,4.601823604,3.584861985,2.770805913,4.925290863,5.619904891,4.575787873,4.794928589
0,6.36954405,3.102596429,1.881994248,3.065129583,3.575012746,9.013080342,1.992928151,3.265551379,4.092986185,2.238444627,2.967523734,2.445251999,1.993620732,2.127680762,4.445807548,4.276564071,4.246689508,4.828989431,2.626088033,5.861022258,2.212534245,2.970229964,5.310561001,6.903005993,5.554173362,5.629725972
0,6.786514516,2.863714394,2.225011763,3.313494513,3.538231069,9.233950604,1.583913231,4.011764912,4.128037382,2.447018695,2.763038083,2.46046701,1.743863973,1.869862526,4.735866393,4.064591889,3.89206276,6.635967357,3.454737728,6.051577154,3.882754444,3.032403944,5.029668762,6.244248109,3.238965748,3.816333836
0,5.245853735,3.250861148,1.985403555,4.147340949,4.239603796,6.776326692,2.345442749,3.067225638,4.661085495,2.145800614,3.006668258,3.459237146,1.810083114,2.183205155,3.67631755,4.363067814,3.91622221,2.607468379,1.691096848,5.973956627,2.076138879,3.43962805,5.608259764,8.299989226,6.152603423,5.253772558
0,6.387581428,2.587706233,1.842456012,2.912654435,3.649157838,7.709676236,2.061457291,2.940983266,3.444939979,2.548714746,2.634768597,2.485507519,1.801949219,2.156800181,4.90654926,3.774336736,3.523092711,5.309225617,3.715548638,6.672279135,1.956226407,2.860196797,5.329600559,5.22642516,3.395395814,4.179098338
0,7.307008024,3.255876571,2.065580349,2.714459481,2.857307298,6.369544658,3.376628505,4.478849375,5.134074198,4.725123405,3.690594251,3.615305021,1.99070877,2.138736943,4.371640911,4.782344901,4.957539959,9.045739093,5.337300598,5.342677975,3.753024102,2.5793914,5.481446908,6.761060658,7.104500228,5.113039922
0,4.944303303,2.180777528,1.832940847,2.428138178,2.955797223,3.915736697,1.89390552,2.972685496,2.703331293,1.836104446,3.115160862,1.96005068,1.430310042,1.874651133,3.828707762,3.216782717,2.425017102,1.911669766,1.620382411,5.764870704,1.675599925,2.894093474,5.136149251,5.204959811,4.026721584,3.938435397
0,6.996247015,2.545484757,2.213086368,2.707426914,3.1343642,6.381000934,1.581814773,3.197754093,3.854518964,2.69238307,3.450673909,1.972912961,2.13405291,2.469989503,4.990003935,3.753678729,2.613750907,2.353219034,1.924119186,7.691048546,2.151586949,3.68193129,5.245215359,4.249943562,4.235546705,3.817236235
0,5.202679158,2.068529947,1.881334055,2.226378216,3.040334263,5.65285351,1.814471423,2.977989729,2.327985776,1.816344107,3.223084092,2.413080749,1.629177461,2.199374594,3.506136738,3.553312864,2.70433786,1.832303858,1.448112736,5.773873986,3.942878755,3.044673768,5.252031991,4.022593538,2.91944297,3.16670355
0,4.252090113,1.958410424,1.821172641,2.107644772,2.161399378,4.389394743,1.821653592,2.891052868,2.348167008,1.774953986,3.054602506,2.685914507,1.624487522,1.883497881,3.597049375,3.453063635,2.562150188,2.229597463,1.588497658,5.522044327,2.220312038,2.719119602,5.329130447,4.877955758,1.752866798,2.355293902
0,5.465564358,2.010462929,1.804866918,2.064312466,2.882727465,3.469598985,1.883931259,2.182223499,2.371738243,1.974016854,3.012771245,1.712267795,1.675768857,1.976366194,3.635829157,3.248790693,2.247081061,1.867504653,1.614446043,6.062066414,2.364821347,2.699855635,5.085377097,3.016042182,2.121977436,1.942508715
