,GSM757001,GSM757002,GSM757003,GSM757004,GSM757005,GSM757006,GSM757007,GSM757008,GSM757009,GSM757010,GSM757011,GSM757012,GSM757013,GSM758485,GSM758486,GSM758487,GSM758488,GSM758489,GSM758490,GSM758491,GSM758492,GSM758493,GSM758494,GSM758495,GSM758496,GSM758497,GSM2544316,GSM2544317,GSM2544318,GSM2544319,GSM2544320,GSM2544321,GSM2544322,GSM2544323,GSM2544324,GSM2544325,GSM2544326,GSM2544327,GSM2544328,GSM2544329,GSM2544330,GSM2544331,GSM2544332,GSM2544333,GSM2544334,GSM2544335,GSM756992,GSM756993,GSM756994,GSM756995,GSM756996,GSM756997,GSM756998,GSM756999,GSM757000,GSM2544275,GSM2544276,GSM2544277,GSM2544278,GSM2544279,GSM2544280,GSM2544281,GSM2544282,GSM2544283,GSM2544284,GSM2544285,GSM2544286,GSM2544287,GSM2544288,GSM2544289,GSM2544290,GSM2544291,GSM2544292,GSM2544293,GSM2544294,GSM2544295,GSM2544296,GSM2544297,GSM2544298,GSM2544299,GSM2544300,GSM2544301,GSM2544302,GSM2544303,GSM2544304,GSM2544305,GSM2544306,GSM2544307,GSM2544308,GSM2544309,GSM2544310,GSM2544311,GSM2544312,GSM2544313,GSM2544314,GSM2544315
GLE1,2.764852665,2.95337986,3.007301594,3.014648832,3.039740631,2.942455213,3.305449942,3.072463863,3.132512396,2.797845387,3.089650938,3.124520712,3.137447142,2.709494236,2.876606414,2.942913576,2.943992553,2.925815236,2.897017997,3.193278387,2.912111002,3.070386018,2.843864678,3.066581965,3.098612838,3.025339733,2.967523734,2.763038083,3.006668258,2.634768597,3.690594251,3.115160862,3.450673909,3.223084092,3.054602506,3.012771245,3.562395937,2.9347313,2.842848428,3.350472826,3.01994181,3.367927725,2.922632083,3.312591603,3.282067772,3.430443308,2.5862176,3.44139912,3.106531586,3.18384883,3.15633364,3.047040544,3.026738733,3.101863795,2.701928544,2.721742412,3.229838324,2.982925347,2.68251782,3.003209327,2.913114648,3.046997814,3.015353026,2.814043418,3.099664991,3.041615442,3.117315612,2.841106518,3.119948971,3.402314431,2.982427144,2.584451893,2.668158897,2.672447002,2.904298234,2.708370998,2.683692156,2.967587811,3.04784298,3.212561355,3.414039995,2.740167027,3.176085776,2.615580685,2.747186352,2.970416892,2.877671062,2.846257582,3.047638361,2.882946676,2.778955691,2.827770691,2.652483295,3.236813166,2.801481585,2.649529663
IL1B,1.927323478,2.42989054,1.87905641,1.814300822,2.314563852,2.209644861,1.940256481,2.513339784,2.28893129,2.461406322,1.806932876,2.140616272,2.102631169,1.931366406,2.484368,1.827977201,1.84723959,2.430655092,2.314411749,1.940152149,2.551006023,2.362375964,2.494604217,1.869969855,2.192096806,2.068369249,2.445251999,2.46046701,3.459237146,2.485507519,3.615305021,1.96005068,1.972912961,2.413080749,2.685914507,1.712267795,2.74821521,1.816202491,2.518684121,3.198156674,1.972809316,2.373612927,1.618314064,2.836199019,2.575968431,2.799571055,1.367163441,2.800781126,2.161850052,2.852308765,1.409147533,1.688830932,1.882179935,3.385361626,2.804435139,2.14854677,2.04508884,1.829653401,1.407758137,1.808520289,1.585819372,1.402358259,2.017146285,1.735844772,1.35933543,1.458067172,2.52425805,1.976621289,1.670165259,2.196047041,1.827756707,1.689246209,1.531084716,2.652310818,2.548158469,1.583041699,2.036579627,1.897426534,2.109161864,2.212837448,1.517724941,1.983358181,2.009663153,2.499963781,2.648185768,1.429564937,1.950264495,1.644990012,2.833128997,1.917906685,2.105254467,1.794186256,1.694138229,1.630137756,2.243174191,1.702989469
IL1R2,1.488026727,2.242544847,1.33362782,1.295787755,1.570341181,1.985382113,2.048635641,1.4734055,1.702360491,1.31456387,2.02722145,1.849713068,1.911373848,1.233346435,2.101039449,1.232071566,1.047383274,1.462603667,1.830878263,1.894824395,1.332248994,1.568597227,1.092186128,1.839324843,1.744866191,1.803512352,1.993620732,1.743863973,1.810083114,1.801949219,1.99070877,1.430310042,2.13405291,1.629177461,1.624487522,1.675768857,4.235285644,1.772129606,1.441789893,2.451302793,3.025365344,1.666094982,2.541489623,2.3044027,1.617529612,2.648546234,1.669264212,2.223964863,2.122603291,2.066196017,1.553220123,1.432420655,1.570362649,1.534935114,2.118902467,1.377644514,1.533784487,1.008889298,1.285735706,1.020649146,1.538852422,1.352080845,1.544018355,1.443653657,1.559894149,1.632749203,1.403950172,1.255636097,1.146185517,1.619239379,1.54438235,1.385302414,1.210836678,1.916371523,1.410026093,1.318201285,1.666502765,1.227902457,1.403670176,1.843222472,1.409312103,1.943839167,1.497916953,1.347250908,1.45418152,1.41029209,1.493633008,1.360396737,2.109009023,2.031660027,1.130393722,1.237226336,1.18219305,1.433965783,1.96590288,1.422919926
IL5RA,1.840608368,1.744309563,1.883434548,1.976785279,1.837325954,1.935367938,1.914086496,1.840150639,1.840801117,1.723187222,1.921133758,1.914229712,1.894893951,1.871721171,1.766789336,1.787546505,1.935788206,1.858518402,1.910529154,1.899893216,1.907406092,1.844477345,1.70617476,1.940625055,1.865300059,1.879526608,2.127680762,1.869862526,2.183205155,2.156800181,2.138736943,1.874651133,2.469989503,2.199374594,1.883497881,1.976366194,2.665528795,2.140206892,1.89550998,1.826097725,2.237142364,1.758164437,2.410100353,2.064328665,2.40250712,1.911751564,1.742159451,2.203187487,2.456944756,2.419828234,1.958522529,1.871300602,1.833784198,1.851246199,2.084709729,1.668883582,1.777208905,1.710610294,1.798978579,2.050772729,1.668694202,1.857614214,1.767902234,1.981126004,1.941311127,1.629447465,1.938055596,1.618111723,1.585799899,2.103925364,1.868986028,1.756828016,1.446795027,1.781826168,1.858001992,1.54122347,1.831633091,1.812640989,1.63211682,1.820748253,1.646572822,1.495916575,2.039085282,1.855485944,2.40404747,1.699463932,1.608399238,1.559187509,1.924321042,2.329260432,1.868986028,1.427658636,1.520463822,1.901956173,1.952457489,1.966417496
KLF6,3.941378977,4.304883706,3.925572555,3.80446601,3.700652996,4.356496312,3.467357785,3.920635956,4.035129494,4.217784954,3.987778648,4.352611043,3.458907234,3.799356279,4.138686144,3.853545318,3.669371786,3.541635138,4.190128469,3.315290454,3.709813733,3.843040774,4.085937448,3.921415701,4.238810576,3.310306683,4.445807548,4.735866393,3.67631755,4.90654926,4.371640911,3.828707762,4.990003935,3.506136738,3.597049375,3.635829157,4.40697918,4.485494271,3.322181776,3.543847627,4.202010741,3.420382323,4.190131447,4.251309408,3.351600642,4.196544808,3.58910778,3.819119971,3.507731671,3.687592323,3.708574986,3.804200306,3.857363875,4.468745404,4.15587341,3.780531203,3.786774513,3.13886306,3.379679921,3.54100997,3.572599014,3.330243594,3.609710675,3.42534273,3.294589515,3.47351582,3.314323558,3.328243467,3.767340085,3.604463379,4.015647298,3.226536625,3.559715608,4.102154798,3.123930941,3.775591619,3.855086529,3.394984534,3.898311937,4.032668619,3.675471922,4.113540134,3.809642357,3.311886157,4.116074707,4.455893786,4.411850513,3.742739337,3.954639389,4.04836192,3.560193371,4.349295946,4.410878791,3.908984677,3.973984743,3.418168187
MXD1,3.463571161,3.254317296,3.272853465,3.167745235,3.495598856,3.327678024,3.197508866,3.345183216,3.638304614,3.379795504,3.55223835,3.492287477,3.635517912,3.32664603,3.339295416,3.403005273,3.137254308,3.385170882,3.429113012,3.241123838,3.425670973,3.525137403,3.477929319,3.568822807,3.391545084,3.603432027,4.276564071,4.064591889,4.363067814,3.774336736,4.782344901,3.216782717,3.753678729,3.553312864,3.453063635,3.248790693,4.854228044,3.017919573,3.469407945,4.777598068,4.352743231,3.861618359,3.611220694,4.880905778,3.707173907,4.421665128,3.26949049,4.01613001,3.753080516,4.043155928,3.761273733,3.394120441,3.540987882,3.443251147,3.630360421,2.874358077,3.18480274,2.98511752,3.002460698,3.190018069,3.199326106,3.00454683,2.975942077,3.141586227,2.932168672,2.82755271,2.881730254,2.95087314,2.8200391,2.83986619,2.855609411,3.035255394,3.114307405,3.048479346,2.805126796,2.833351448,2.978063566,3.046799834,3.057495678,2.668158115,2.877230928,2.698999272,3.062251351,2.799999862,3.309457941,3.168246281,3.044572269,3.190018069,3.082564615,3.070436765,2.877301644,3.028616899,2.907046698,3.119540413,2.940566236,2.985992634
NAMPT,2.752755436,2.814156053,3.28079368,2.787266067,3.043015123,4.211911424,3.094149478,3.965982915,2.708918994,2.816221189,2.49520673,3.243837917,3.140168933,2.772657157,2.866321394,3.241650742,2.758427436,3.01296839,4.184895097,3.103227845,4.000743567,2.656737809,2.791235076,2.531516828,3.109080129,3.043015913,4.246689508,3.89206276,3.91622221,3.523092711,4.957539959,2.425017102,2.613750907,2.70433786,2.562150188,2.247081061,5.334787806,2.257761619,2.490448337,4.79712648,4.290525212,3.272194837,3.121700065,5.043995338,2.980625867,3.866321004,2.947965409,3.07690778,3.067207911,2.203000898,2.422400423,2.33668155,3.582551209,4.118671717,2.034745444,2.636163155,2.484247239,1.990069994,2.032088979,1.962804538,1.653097666,1.708903214,2.055061701,2.114544642,2.094165142,1.720873057,2.64498304,1.970349788,1.986495158,2.026404402,2.285755887,2.367420398,2.188048563,2.504949061,2.143758678,2.112889083,2.330866226,2.061478826,2.531994753,2.677801214,1.733795213,4.016650878,2.786071888,2.067778744,2.720230426,2.145927022,3.32669271,2.46102545,3.211580033,2.42117481,2.335744999,2.647209987,2.566629648,2.385792715,2.872864239,2.054065435
NR4A2,3.043174142,2.403419029,4.782732212,1.711549888,3.392591151,4.488074512,1.638388675,4.750336977,3.850371033,2.791277466,1.811180849,4.089856876,2.031781241,2.306507823,1.75993738,4.162174642,1.286097746,2.739703652,3.804498023,1.312536473,4.08263128,3.248146642,2.222735024,1.162843976,3.416342565,1.431323485,4.828989431,6.635967357,2.607468379,5.309225617,9.045739093,1.911669766,2.353219034,1.832303858,2.229597463,1.867504653,1.782592638,2.505635081,1.894974856,4.313178937,2.309280292,1.633289201,1.256889702,3.045565478,2.403699917,2.575685796,1.081564081,2.274794032,1.963138573,1.61918149,1.528748158,1.596293575,1.778930573,3.505588007,5.575802236,1.804233165,1.931646461,1.737906265,1.548693502,1.818607766,1.805161289,1.868567995,2.025353016,1.873095428,1.765614158,2.021538653,1.723022327,2.018437361,1.707663009,1.697215957,2.048873032,1.58155135,1.607425632,2.034090962,1.509202963,1.88290864,1.547652192,1.717238531,1.669519382,1.960610717,1.85110342,1.863191667,1.757317636,1.876140127,1.89194087,1.718245885,1.942229337,1.878924499,1.863135075,1.665840843,2.422261789,2.018437361,1.700849222,2.159829108,2.299240103,1.65651433
NR4A3,2.101023747,2.273422869,2.940053727,1.97979188,2.673977502,3.772577213,2.041944308,2.767199232,1.928392619,1.710735126,2.097424342,2.239461561,1.884051253,1.722634102,1.893170957,2.598878858,1.592461502,2.247505146,3.38758807,1.661015736,2.398562115,1.519690046,1.369983682,1.772004194,1.920652271,1.49075737,2.626088033,3.454737728,1.691096848,3.715548638,5.337300598,1.620382411,1.924119186,1.448112736,1.588497658,1.614446043,1.678135926,1.808736015,1.293015176,2.477820393,2.346795645,1.696493546,2.286016441,1.839506041,1.736889157,3.658087075,1.469032455,2.558656254,1.807869461,1.836656008,1.381598033,1.586000135,1.358071715,2.57670799,2.729893404,1.766391119,2.556741953,1.788137157,1.267975101,1.46910384,1.398539803,1.351623919,1.475907218,1.176540883,1.531758618,1.663393812,1.869344191,1.803009041,1.712999198,1.187104256,1.670400672,1.369362246,1.420577794,1.70721323,1.468918052,1.433282152,1.464467988,1.260968241,1.665340162,1.688333634,2.133083472,1.878713212,1.601482186,1.539800583,1.572499264,1.720050293,1.486806778,1.698799689,2.022159212,1.606454226,2.31582805,1.561307751,1.573242416,2.036226015,2.254942681,1.364345971
PDK4,4.993913436,4.630619933,5.026976924,4.985096605,4.922843219,5.059403593,4.811164258,4.8592098,4.60078754,4.995494383,4.546101099,5.046274675,4.639057147,4.943429079,4.541402181,4.942485466,4.832684942,4.896981522,5.043431462,4.77936356,4.716689755,4.486870683,4.9313326,4.510633914,4.893193659,4.601823604,5.861022258,6.051577154,5.973956627,6.672279135,5.342677975,5.764870704,7.691048546,5.773873986,5.522044327,6.062066414,8.649067658,5.188922901,4.538204153,5.776671122,7.808790493,6.397198282,8.029414603,6.324210512,7.369203074,7.367454864,4.731594466,4.931208778,4.769987518,4.485912736,4.903140163,4.958085875,6.199322901,7.73913642,4.927196763,3.492397274,4.503020026,3.360127701,2.951116476,4.102216647,2.871975006,2.821040906,4.248620498,3.007295206,3.938050982,3.659272665,4.211619633,3.680766908,3.768710614,3.560664877,5.28412028,3.68553078,3.196189303,3.65648427,2.07937153,2.369390838,3.438674779,3.47696932,4.930457385,2.673684281,3.174730024,3.58250002,3.754497667,3.272839573,2.395404204,1.965274601,2.93550496,2.919430168,2.482552475,2.865323067,3.660627528,2.565426373,2.117499992,3.563304674,3.0586751,4.542092521
PER3,3.461049617,2.486207594,3.948835065,3.1768016,4.028918609,4.080371908,4.304124186,3.636682282,3.562550867,3.687715301,3.487220413,3.281170658,3.599829272,3.366892623,2.648371654,3.958773048,3.169813263,4.052922793,4.27768954,4.349701643,3.849158156,3.524885852,3.67779778,3.407823127,3.251286386,3.584861985,2.212534245,3.882754444,2.076138879,1.956226407,3.753024102,1.675599925,2.151586949,3.942878755,2.220312038,2.364821347,2.885342321,3.42949805,2.927743464,1.923457673,2.259989215,4.38270078,3.753024102,2.458259185,3.117586525,2.176971997,3.03047062,2.978776064,1.80710535,2.595454686,3.424173671,3.696288518,4.326973743,4.039915049,2.868764339,3.746637513,4.534443331,4.238956743,3.529531606,3.837467299,3.035288213,4.268433536,4.569391238,4.813736808,5.241573381,4.65174775,3.132667109,4.731345522,5.012910902,5.231222309,4.223540254,4.613797684,3.659401045,3.731197841,4.245529037,4.040327442,4.376035999,3.4316311,4.358405562,2.810763845,3.923672138,3.106876365,3.365027227,3.353980674,4.290735285,4.280708771,3.164531719,4.11438455,2.927824846,4.514100519,4.08837357,3.909716157,4.390096301,4.208471504,3.049035549,4.940754775
