gene,GSM757001,GSM757002,GSM757003,GSM757004,GSM757005,GSM757006,GSM757007,GSM757008,GSM757009,GSM757010,GSM757011,GSM757012,GSM757013,GSM758485,GSM758486,GSM758487,GSM758488,GSM758489,GSM758490,GSM758491,GSM758492,GSM758493,GSM758494,GSM758495,GSM758496,GSM758497,GSM2544316,GSM2544317,GSM2544318,GSM2544319,GSM2544320,GSM2544321,GSM2544322,GSM2544323,GSM2544324,GSM2544325,GSM2544326,GSM2544327,GSM2544328,GSM2544329,GSM2544330,GSM2544331,GSM2544332,GSM2544333,GSM2544334,GSM2544335,GSM756992,GSM756993,GSM756994,GSM756995,GSM756996,GSM756997,GSM756998,GSM756999,GSM757000,GSM2544275,GSM2544276,GSM2544277,GSM2544278,GSM2544279,GSM2544280,GSM2544281,GSM2544282,GSM2544283,GSM2544284,GSM2544285,GSM2544286,GSM2544287,GSM2544288,GSM2544289,GSM2544290,GSM2544291,GSM2544292,GSM2544293,GSM2544294,GSM2544295,GSM2544296,GSM2544297,GSM2544298,GSM2544299,GSM2544300,GSM2544301,GSM2544302,GSM2544303,GSM2544304,GSM2544305,GSM2544306,GSM2544307,GSM2544308,GSM2544309,GSM2544310,GSM2544311,GSM2544312,GSM2544313,GSM2544314,GSM2544315
HNF1A,2.138603974,1.983480083,1.86591059,1.953287369,1.908913681,1.981547253,2.109690654,1.726648267,2.34842668,2.08908257,2.255431937,2.112143929,2.009044513,2.067704268,1.955563814,1.813938566,1.91683719,1.945790873,1.933589455,2.043236679,1.650407016,2.384410107,2.047393697,2.25959941,2.019905675,1.869168096,2.116135849,2.023710744,2.29004489,2.329805124,2.248166177,2.342180141,2.169394928,2.068896351,2.584926832,2.129983468,1.665196927,2.689533191,2.208599707,1.933158685,2.000097454,2.302587836,2.535323421,2.22300278,2.286570068,2.196793061,2.399127466,2.193322852,2.037987914,2.10756642,2.772566174,2.579232026,2.040054745,2.168390135,2.166117176,2.211161852,1.646083415,1.861664488,2.291664054,1.832535402,2.06773824,2.404602236,1.857453365,1.879413208,2.607524105,2.203915104,2.056306204,2.243507409,2.267521144,2.066136464,1.974008462,1.925438456,2.181671074,2.062261197,2.37029321,2.207480349,2.015305885,2.355192588,2.206640708,1.859920618,2.173416757,2.116824949,1.974331401,1.848139808,1.793085189,2.485362789,1.657425028,1.981823583,1.889320973,2.793239791,1.816788902,1.887654608,1.780387233,2.10482454,2.018896966,2.197779265
HNF1B,3.539352772,4.023266849,3.301108835,3.325480138,3.074527807,3.105964755,3.480882538,3.46974729,4.2237096,3.21161883,3.702079491,3.699774842,3.491322538,3.365154067,3.931681934,3.278453606,3.220761151,2.951648826,2.99667179,3.378677338,3.424159879,4.220189436,3.285845103,3.591233699,3.753890897,3.356490214,3.614383886,3.176665128,3.435709565,3.96614598,3.820729079,3.988055724,3.138384576,3.529062057,4.101103973,3.499915194,2.737105349,4.063156709,3.863762959,2.892774836,2.716592242,4.088296176,3.793089949,3.742247598,3.581356593,2.333850199,3.621094407,4.092126556,3.83963791,3.205463655,4.215975342,4.334104253,3.44277192,3.381080547,4.093466997,3.911369782,3.321973063,3.603474789,4.427490666,3.313529757,3.286136625,4.320639994,2.786481774,3.382583938,4.570225389,3.435711695,3.36603855,3.992017638,3.477412422,3.534499962,3.297198626,3.749153559,3.631240886,4.142830636,3.792806403,5.01689532,4.266853596,3.795028326,4.499322251,3.922590491,3.586715144,4.101740938,4.267337657,3.631074242,3.279304213,4.511336504,4.114882023,4.394701437,3.974519997,5.079466249,3.968679515,4.390979716,4.230080776,3.782180852,3.688518878,4.061920911
HNF4A,2.625802582,2.809580835,2.706977961,2.7514683,2.895447852,2.593622437,2.776962838,2.849303593,2.738564458,2.319484755,3.062665461,2.931351688,2.966826003,2.61616069,2.747024228,2.669546358,2.734435259,2.792004352,2.581030883,2.742985798,2.645046651,2.670675828,2.336737735,3.022450465,2.945491011,2.887198956,3.020873977,2.884378844,3.548974493,3.311768412,3.780722379,3.416665586,3.377798084,2.986305407,3.623392719,2.894272829,2.549086257,3.262145528,2.939878546,2.813583314,2.691031535,3.42449866,3.49474676,3.053389686,3.163616248,2.880740047,2.719082864,3.266364405,3.348239875,3.057451499,3.262290724,3.234326383,2.98967334,2.971763711,2.848958192,2.891277185,2.017088448,2.517117096,3.046457379,2.305446996,2.487708855,3.217319822,2.012056926,2.640940844,3.396643272,2.713072746,2.434720889,3.21728762,3.009103359,2.649353549,2.316749807,2.614511264,3.005287452,2.226786191,2.488272386,2.80262579,2.424231171,3.25167103,2.775624629,2.526447551,2.782435298,2.527904679,2.497683345,2.434479376,2.030548776,3.133007611,2.258826924,2.558174317,2.212029743,3.702962342,2.238845743,2.37742594,2.382924387,2.528975387,2.520385573,2.861337616
HNRNPA1,6.931280536,6.699261396,6.734191616,6.753805877,6.760783624,6.709340899,6.774385552,8.66625939,7.030361997,6.999620596,7.009416612,7.130873727,6.963322675,6.920119922,6.719714764,6.793886961,6.690976195,6.710564989,6.739987677,6.771092658,8.599147145,7.065458843,7.048991591,7.049417544,7.145140893,6.965226861,6.744548078,7.159166215,6.723678585,6.727754658,6.892428004,6.740472005,6.730852473,7.249818077,6.992373312,6.676233096,6.773243632,7.408132749,6.927319188,6.674439624,6.720906855,7.417915324,7.061666551,7.062970895,7.169764005,6.773243632,6.824777989,7.179305228,6.679030889,6.957969557,7.16121948,6.856887093,6.780104374,6.947913835,7.063411097,6.843333242,6.942137249,6.849039744,7.096701934,6.485290996,6.431975963,6.901539563,6.959908927,6.881485284,6.677355552,6.671812093,6.496214872,6.597464523,6.75382268,6.502084417,7.043712986,6.875778782,6.631051364,7.456211566,6.930398159,7.223712366,7.497950552,6.880017898,7.029202167,7.306049039,6.86501795,7.215723263,7.034093454,6.835181096,7.246701418,7.6683304,7.461428939,7.442352918,7.587624157,7.910612175,7.282896945,7.668982572,7.840340678,6.995778369,7.365070575,6.73702926
HNRNPA2B1,6.926698964,6.734525916,7.202746315,6.743860608,6.741092829,6.873300673,7.04138888,7.674807378,6.906223441,7.163610311,7.161347448,7.413545745,7.41200502,6.967265944,6.812058723,7.247658865,6.787583888,6.826349918,6.919951146,7.071411141,7.732012214,6.957470079,7.218043651,7.208402752,7.471253266,7.456616555,6.660586521,6.815589418,6.890335791,6.875961489,6.735572467,6.741322188,6.20923342,6.702271999,6.389870489,6.606443315,6.666336242,6.880273779,6.620578046,6.596141731,7.001736636,6.998622204,6.529780368,7.371395785,6.375735758,7.253286932,6.649582612,5.210773013,6.200322239,7.084513982,7.081968624,6.721268443,7.02875199,6.817224475,6.986094154,6.850137022,7.452420301,7.416724116,6.906196802,6.649375929,6.807972401,6.880562629,7.247826061,6.82881514,6.708789713,7.241597196,7.004660775,6.159451782,7.306760701,5.668090205,7.699897877,7.300771409,7.166611251,6.365243881,7.848671909,7.48452291,7.095937597,7.052095974,6.051884084,6.261030187,6.528152644,6.668302094,6.785213089,6.164243216,7.125165345,7.293105114,6.854688885,7.370726348,7.215723452,6.979745317,7.024545227,6.819471843,7.357310332,7.033169808,7.114384618,7.008493922
HP,1.362815008,1.724113035,1.296445997,1.511086982,1.537549263,1.408806822,1.636075646,1.584256902,1.43396829,1.151413071,1.587363074,1.67155504,1.521602959,1.293901883,1.773236471,1.259461107,1.52725832,1.487607158,1.499027336,1.595374664,1.562760116,1.37126038,1.249311186,1.584470225,1.665525982,1.56964705,1.718296332,1.363509369,1.858683551,1.525410105,1.616133706,1.356057611,1.572734527,1.504277593,1.312357171,1.2104072,1.727422741,1.337122526,1.275293315,1.395194845,1.428608138,1.633216927,1.470075708,1.981987548,1.385669709,1.548899534,1.977465192,1.868670772,1.907677386,1.576186089,2.314201997,2.043026244,1.248664448,1.540454677,1.414568933,1.663496795,2.080299041,1.810006683,1.476830704,1.354093784,1.755079874,1.462042376,1.526769001,1.461333529,1.450098298,1.860786736,1.57480227,1.314265424,1.798222096,1.748301521,1.541149741,2.046230065,1.827532934,1.793375352,1.622179855,1.67299535,1.976036456,1.562105041,1.600985319,3.107037857,1.639537755,2.321378028,2.008377616,1.543107932,1.709988321,1.706701042,2.33742456,1.896237965,4.213716933,2.773418848,1.335406796,1.495526553,2.033674607,1.521683021,2.13131833,1.359100019
HPRT1,3.284614254,3.630783686,3.944113034,3.562110052,3.968844941,3.916145663,4.04555017,3.780962512,3.86453457,4.085452354,3.803125201,3.679356129,3.790911637,3.255022648,3.663377183,3.9152428,3.548255399,3.924570867,3.968912336,4.123185829,3.73015932,3.765821336,4.126611969,3.806341515,3.643920026,3.744672548,4.44597866,4.119228577,3.945249124,3.470990884,3.383912861,2.886167748,3.188653949,4.294567796,3.711969732,4.197106103,4.506638365,2.982428609,4.349753118,4.024203868,4.259990881,3.910460298,3.250055345,3.465905005,3.96158398,3.40649911,3.558441218,2.894519975,3.310141096,3.181946555,3.234001805,3.0425041,4.502540775,3.884772125,2.976068834,2.815527626,3.381773176,2.881750012,3.912700119,3.194125422,3.541042429,3.523330148,3.371689714,3.471235204,3.546622769,3.557288988,3.623211166,3.618443154,2.902022892,3.206310341,3.519674672,3.66617625,3.074801512,3.368193172,2.470464847,3.879253399,3.77130208,3.524266091,3.456560324,3.62790854,4.452156506,2.786566369,4.038822861,3.010609946,3.502492171,2.601390919,3.483049278,3.760512246,3.721555824,2.233070837,3.906978505,3.299092319,3.378665138,4.432501701,3.658406156,3.407449802
HPSE2,1.479187964,1.460588509,1.54235333,1.69167951,1.388624402,1.437415283,1.304815559,1.411147242,1.508659155,1.08834586,1.561244446,1.409487335,1.655732176,1.364147623,1.457746866,1.356659985,1.525506243,1.264037316,1.327749895,1.29336605,1.345693009,1.398549727,1.096908079,1.461015889,1.389214879,1.541643414,1.234442635,2.066358598,1.360176893,1.418982914,2.253198717,1.859867953,1.581252596,1.6274095,1.284747983,1.623406615,1.437803752,1.166553704,1.674221421,1.350671861,1.604614889,1.514397138,1.144181215,1.435765919,1.300613964,1.12624829,1.583794508,1.948041584,2.264657284,1.684013146,1.712956565,1.574997355,1.198320229,1.25561739,1.533700466,1.410952647,1.007272605,1.375538031,1.181143377,1.426381949,1.268828393,1.559670744,1.437619139,1.355028704,1.601446308,1.56223259,1.492436831,1.473776109,1.430384834,1.465755782,1.525129485,1.31788193,1.441229014,2.299840582,1.332365096,1.839319572,1.379075126,1.473776109,1.64057269,1.455057162,1.397983299,1.41399484,1.421039917,1.323398634,1.742304194,1.349497444,1.30395189,1.970978101,1.738330421,1.252962413,1.690033794,1.377997986,1.515755456,1.673396348,1.715011796,1.459598617
HRAS,3.252643399,2.896900412,2.944773034,2.117583105,2.350064854,2.018638319,2.369164079,2.107393175,3.486669838,3.551479767,3.967767635,3.283654223,3.529318906,3.622837253,3.423714442,3.296873272,2.52528734,2.564683286,2.511610105,2.796917529,2.598474639,3.740979722,4.066543063,4.475639954,3.85380611,3.934643322,2.984975796,3.024567416,3.367626231,2.521753844,3.259417707,2.814474742,2.633972948,3.550724619,3.820847443,3.432386809,3.418992502,3.037010497,3.27358328,3.027446807,2.692897619,3.00934778,3.947746298,3.466373901,2.299372343,2.762542877,2.947948854,2.456879958,2.264108058,2.115947198,2.838149814,3.06531697,3.080848025,3.110617811,2.914096199,2.642828432,3.044220614,2.982596515,3.690772333,2.571872022,3.121295729,3.132401949,2.854772142,2.724428303,3.61788776,2.966657031,3.1781894,3.45419955,2.647404606,2.982596515,2.305348436,2.988278169,2.821170683,3.315808843,2.281773426,2.784612707,2.875673432,3.053604342,3.086048903,1.810041846,3.333342274,2.893669623,3.19731678,2.318511364,2.359105629,2.250999939,2.982596515,2.518911803,2.356509035,2.054481535,3.198782185,3.011878888,2.958764416,2.746692162,2.982596515,3.129753938
HSD11B1,2.121322028,1.852659854,1.804890485,2.278265374,2.160675182,2.043628243,2.068912983,1.799752046,2.074462134,2.002882301,2.095670123,2.001372429,2.407021313,2.204890919,2.023255272,1.788153567,2.287197215,2.023255272,2.135493007,2.012906278,1.878776803,1.977429435,2.042412476,2.133499825,1.857331381,2.265867459,2.324858032,2.212584065,1.784860692,1.446729873,1.610090741,2.093257566,1.771058437,1.74028908,1.924846616,2.411236898,1.915527897,2.259929803,2.091001147,1.94791875,2.016031363,1.93304201,1.574486199,1.730198684,1.755937496,1.522373652,2.407137627,1.949437502,2.289144687,2.650854117,1.852909651,1.57040808,1.889860305,1.798227366,1.872795096,2.75089816,2.043759717,1.944799603,1.827915117,1.736251736,1.978128189,2.081249493,1.90859921,2.444376752,2.03097334,1.948208652,1.606444119,1.761844027,1.801424165,1.842352295,1.818371732,2.432225298,1.906313486,2.829570035,1.673726448,2.866708161,2.906669254,2.383590177,2.166006863,2.931919663,2.744011685,2.869687416,2.185650412,2.024155241,2.097122574,2.073366677,2.405324088,2.64139832,2.475439151,2.701335075,2.249982789,1.940052331,2.232908237,1.787729359,2.047618097,2.180092391
HSD11B2,2.941050843,3.831695307,2.329966786,2.708400662,1.987169827,2.158500521,3.397095033,2.112638126,3.409766872,2.66135058,3.439646096,2.976931974,2.700956128,2.512585847,3.309779942,1.899646034,2.183936723,1.599291483,1.723696904,2.821948039,1.956897916,3.007346969,2.287890128,3.078060329,2.541502251,2.376715631,3.634730548,2.373818341,2.159020026,3.516237727,3.381788267,3.023810774,1.688788844,4.163300555,3.829882778,2.674318162,1.564690092,2.470765478,5.816492806,2.148635547,2.394992548,4.016009799,3.269661216,3.824352832,3.670924258,2.057784015,2.587861799,2.643742042,1.129555798,0.290621229,3.243771195,4.063490359,4.475924884,3.574704241,3.836537656,1.468770595,1.050385825,1.602781036,5.61551277,1.097462132,1.777417588,2.261157037,1.317055882,3.196629787,3.708525528,2.421905402,1.466862552,1.866124682,2.253972328,1.657675252,2.294682864,2.335747993,2.483376455,0.962303488,1.027531528,4.670660218,2.4750942,3.875664992,1.879666719,1.044551943,3.367982141,1.350438184,2.330336244,2.14593997,0.697533031,2.540583962,1.929545991,1.329863407,2.273821036,0.990046089,1.948558876,1.193742298,1.595596327,1.791955859,2.180816625,3.727403329
